id,date_accident,accident_type,district,longitude,latitude,road_condition,weather_condition,road_part,number_of_participants,vehicle_brand_uz,vehicle_model_uz,vehicle_color_uz,year_manufacture
148892,2023-04-30,velosipedchini urib yuborish,Uchqo'rg'on tumani,72.1005,41.114,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Cobalt,oq,2020.0
148891,2023-04-30,to'qnashuv,Pop tumani,71.0194,40.851,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Spark,oq,2019.0
148890,2023-05-01,to'qnashuv,Pop tumani,70.5365,41.0857,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Spark,kulrang,2014.0
148889,2023-05-10,to'qnashuv,Kosonsoy tumani,71.5499,41.2511,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Cobalt,oq,2019.0
148888,2023-05-02,piyodani urib yuborish,Namangan shahri,71.6764,41.026,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Cobalt,oq,2015.0
148887,2023-04-30,piyodani urib yuborish,Chortoq tumani,71.8335,41.0702,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia,qora,2019.0
148886,2023-04-29,piyodani urib yuborish,Uychi tumani,71.8557,41.0244,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Labo,oq,2022.0
148885,2023-04-07,piyodani urib yuborish,Xazorasp tumani,61.0957,41.3104,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2020.0
148884,2023-04-28,piyodani urib yuborish,Pop tumani,71.1823,40.9337,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia,oq,2012.0
148883,2023-06-06,to'qnashuv,Mirzo ulug'bek tumani,69.3545,41.329,quruq,kun ochiq,tartibga solingan chorraha,5,Chevrolet,Cobalt,oq,2021.0
148882,2023-04-30,piyodani urib yuborish,Namangan shahri,71.6765,41.0267,quruq,kun ochiq,yo'lning tog'ri qismi,2,Lada(VAZ),2107,oq,2009.0
148881,2023-06-06,YTHning boshqa turlari,Yashnobod tumani,69.3407,41.2585,quruq,kun ochiq,yo'lning tog'ri qismi,2,MAN,CLA,ko'k,2019.0
148880,2023-04-28,piyodani urib yuborish,Namangan shahri,71.6711,41.0007,quruq,kun ochiq,yo'lning tog'ri qismi,2,Hyundai,Avante,oq,2008.0
148879,2023-06-03,to'qnashuv,Qo'rg'ontepa tumani,72.7965,40.7276,quruq,kun ochiq,tartibga solingan chorraha,2,Chevrolet,Lacetti,oq,2021.0
148878,2023-04-27,to'siqqa urilish,Namangan shahri,71.6309,41.0239,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Cobalt,qora,2013.0
148877,2023-06-02,piyodani urib yuborish,Chortoq tumani,71.7824,41.1075,quruq,kun ochiq,yo'lning tog'ri qismi,2,Lada(VAZ),2101,oq,1987.0
148876,2023-04-28,piyodani urib yuborish,Namangan tumani,71.587,40.9446,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Damas,qora,2011.0
148875,2023-06-02,velosipedchini urib yuborish,Qo'rg'ontepa tumani,72.9486,40.7993,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Matiz,oq,2009.0
148873,2023-06-06,piyodani urib yuborish,Shayxontoxur tumani,69.2553,41.3361,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,qora,2014.0
148872,2023-04-29,to'siqqa urilish,Pop tumani,70.5095,41.1068,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2009.0
148871,2023-06-06,piyodani urib yuborish,Sirg'ali tumani,69.2414,41.2135,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Matiz,kulrang,2010.0
148870,2023-05-08,to'siqqa urilish,Pop tumani,71.0392,40.8848,quruq,kun ochiq,yo'lning tog'ri qismi,4,Hyundai,Solaris,oq,2020.0
148869,2023-06-06,piyodani urib yuborish,Yangihayot tumani,69.2259,41.2011,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Nexia,kumush rang,2015.0
148868,2023-06-02,ag'darilish,Qo'rg'ontepa tumani,72.7552,40.7225,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia 3,oq,2019.0
148867,2023-06-06,piyodani urib yuborish,Sharof Rashidov tumani,67.9749,40.1007,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia,oq,2006.0
148866,2023-05-07,to'qnashuv,Chortoq tumani,71.8269,41.0644,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Nexia,oq,2009.0
148857,2023-03-07,piyodani urib yuborish,Urganch tumani,60.6712,41.5878,quruq,kun ochiq,yo'lning tog'ri qismi,2,MAN,TGX,oq,2013.0
148856,2023-05-07,to'qnashuv,Namangan tumani,71.5871,40.951,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Damas,oq,2020.0
148855,2023-05-27,piyodani urib yuborish,Norin tumani,71.8862,40.9303,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Damas,oq,2022.0
148854,2023-05-01,to'siqqa urilish,Uychi tumani,71.851,41.0227,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,kulrang,2016.0
148853,2023-05-11,velosipedchini urib yuborish,Sharof Rashidov tumani,67.8586,40.0721,quruq,kun ochiq,yo'lning tog'ri qismi,2,ISUZU,GIGA385CXZ,oq,2017.0
148852,2023-05-06,ag'darilish,Yangiqo'rg'on tumani,71.7107,41.1655,quruq,kun ochiq,yo'lning tog'ri qismi,1,Chevrolet,Damas,oq,1998.0
148851,2023-04-27,piyodani urib yuborish,Chust tumani,71.2296,41.0052,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Damas,oq,2012.0
148850,2023-06-06,piyodani urib yuborish,Zomin tumani,68.4724,39.9869,quruq,kun ochiq,yo'lning tog'ri qismi,2,Lada(VAZ),2103,sariq,1980.0
148849,2023-05-31,piyodani urib yuborish,Urganch tumani,60.6001,41.5896,quruq,kun ochiq,tartibga solingan chorraha,3,Chevrolet,Matiz,oq,2010.0
148848,2023-06-06,velosipedchini urib yuborish,Do'stlik tumani,68.0393,40.5221,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia,oq,2015.0
148847,2023-06-05,to'siqqa urilish,Zomin tumani,68.5906,40.1631,quruq,kun ochiq,yo'lning tog'ri qismi,1,Chevrolet,Nexia,oq,2014.0
148846,2023-05-01,velosipedchini urib yuborish,Qo'rg'ontepa tumani,72.7564,40.7019,quruq,kun ochiq,yo'lning tog'ri qismi,3,Daewoo,Matiz,oq,2004.0
148845,2023-06-04,to'siqqa urilish,Yangiobod tumani,68.8136,40.1021,quruq,kun ochiq,yo'lning tog'ri qismi,4,Chevrolet,Nexia,kulrang,2015.0
148844,2023-06-07,to'qnashuv,Qo'rg'ontepa tumani,72.7551,40.756,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Tico,yashil,1998.0
148843,2023-05-30,velosipedchini urib yuborish,Qo'rg'ontepa tumani,72.8028,40.816,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Nexia 2,oq,2014.0
148842,2023-06-07,to'qnashuv,Qo'rg'ontepa tumani,72.8159,40.7286,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Cobalt,oq,2020.0
148841,2023-05-27,piyodani urib yuborish,Parkent tumani,69.6855,41.2749,quruq,kun ochiq,yo'lning tog'ri qismi,1,Chevrolet,Damas,oq,1988.0
148840,2023-04-27,piyodani urib yuborish,Namangan shahri,71.6887,41.0339,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia,oq,2007.0
148839,2023-04-25,to'qnashuv,Namangan shahri,71.7225,41.046,quruq,kun ochiq,yo'lning tog'ri qismi,3,AZLK,412,yashil,1981.0
148838,2023-04-20,piyodani urib yuborish,Namangan shahri,71.5944,40.9963,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia,oq,2009.0
148837,2023-04-26,piyodani urib yuborish,Namangan shahri,71.6796,40.9805,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2011.0
148836,2023-04-25,piyodani urib yuborish,Namangan shahri,71.6764,41.0257,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2010.0
148835,2023-04-21,to'qnashuv,Pop tumani,70.7885,40.854,quruq,kun ochiq,yo'lning tog'ri qismi,3,HOWO,ZZ3257M2941,kulrang,2021.0
148834,2023-04-24,to'qnashuv,Pop tumani,71.1034,40.9075,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Matiz,kulrang,2008.0
148833,2023-04-24,to'siqqa urilish,Pop tumani,70.8961,40.8329,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2019.0
148832,2023-06-02,piyodani urib yuborish,Norin tumani,72.1161,40.9202,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Labo,oq,2003.0
148824,2023-04-19,piyodani urib yuborish,Kosonsoy tumani,71.5513,41.2401,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2018.0
148819,2023-04-26,velosipedchini urib yuborish,Namangan shahri,71.7125,40.9988,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2014.0
